START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,START_STATE,STOP_STATE,START_LOC,STOP_LOC,START_LAT,START_LONG,STOP_LAT,STOP_LONG
01-07-2016 13:27,01-07-2016 13:33,Business,Cary,Cary,0.8,Meeting,North Carolina,North Carolina,"Cary, North Carolina","Cary, North Carolina",35.7704365,-78.83030845,35.7704365,-78.83030845
01-10-2016 08:05,01-10-2016 08:25,Business,Cary,Morrisville,8.3,Meeting,North Carolina,North Carolina,"Cary, North Carolina","Morrisville, North Carolina",35.7704365,-78.83030845,35.83291505,-78.83961595
01-10-2016 12:17,01-10-2016 12:44,Business,Jamaica,New York,16.5,Customer Visit,New York,New York,"Jamaica, New York","New York, New York",40.7015204,-73.7964209,40.5589965,-93.47595675
01-10-2016 18:18,01-10-2016 18:53,Business,Elmhurst,New York,7.5,Meeting,New York,New York,"Elmhurst, New York","New York, New York",40.738719,-73.87946005,40.5589965,-93.47595675
01-10-2016 19:12,01-10-2016 19:32,Business,Midtown,East Harlem,6.2,Meeting,New York,New York,"Midtown, New York","East Harlem, New York",40.7504877,-73.98392375,40.8004355,-73.9422486
01-11-2016 11:56,01-11-2016 12:03,Business,Flatiron District,Midtown,1.6,Errand/Supplies,New York,New York,"Flatiron District, New York","Midtown, New York",40.74157915,-73.98876785,40.7504877,-73.98392375
01-11-2016 13:32,01-11-2016 13:46,Business,Midtown,Midtown East,1.7,Meal/Entertain,New York,New York,"Midtown, New York","Midtown East, New York",40.7504877,-73.98392375,40.7561683,-73.9699899
01-11-2016 14:30,01-11-2016 14:43,Business,Midtown East,Midtown,1.9,Meal/Entertain,New York,New York,"Midtown East, New York","Midtown, New York",40.7561683,-73.9699899,40.7504877,-73.98392375
01-12-2016 12:33,01-12-2016 12:49,Business,Midtown,Hudson Square,1.9,Meal/Entertain,New York,New York,"Midtown, New York","Hudson Square, New York",40.7504877,-73.98392375,40.7258971,-74.0069339
01-12-2016 12:53,01-12-2016 13:09,Business,Hudson Square,Lower Manhattan,4.0,Meal/Entertain,New York,New York,"Hudson Square, New York","Lower Manhattan, New York",40.7258971,-74.0069339,40.7214947,-73.9954898
01-12-2016 14:42,01-12-2016 14:56,Business,Lower Manhattan,Hudson Square,1.8,Errand/Supplies,New York,New York,"Lower Manhattan, New York","Hudson Square, New York",40.7214947,-73.9954898,40.7258971,-74.0069339
01-12-2016 15:13,01-12-2016 15:28,Business,Hudson Square,Hell's Kitchen,2.4,Customer Visit,New York,New York,"Hudson Square, New York","Hell's Kitchen, New York",40.7258971,-74.0069339,40.76295,-73.9935943
01-12-2016 15:42,01-12-2016 15:54,Business,Hell's Kitchen,Midtown,2.0,Errand/Supplies,New York,New York,"Hell's Kitchen, New York","Midtown, New York",40.76295,-73.9935943,40.7504877,-73.98392375
1/14/2016 16:29,1/14/2016 17:05,Business,Houston,Houston,21.9,Customer Visit,Texas,Texas,"Houston, Texas","Houston, Texas",29.81717795,-95.40129145,29.81717795,-95.40129145
1/15/2016 0:41,1/15/2016 1:01,Business,Morrisville,Cary,8.0,Errand/Supplies,North Carolina,North Carolina,"Morrisville, North Carolina","Cary, North Carolina",35.83291505,-78.83961595,35.7704365,-78.83030845
1/15/2016 11:43,1/15/2016 12:03,Business,Cary,Durham,10.4,Meal/Entertain,North Carolina,North Carolina,"Cary, North Carolina","Durham, North Carolina",35.7704365,-78.83030845,36.0018269,-78.884911
1/15/2016 13:26,1/15/2016 13:44,Business,Durham,Cary,10.4,Meal/Entertain,North Carolina,North Carolina,"Durham, North Carolina","Cary, North Carolina",36.0018269,-78.884911,35.7704365,-78.83030845
1/18/2016 14:55,1/18/2016 15:06,Business,Cary,Cary,4.8,Meal/Entertain,North Carolina,North Carolina,"Cary, North Carolina","Cary, North Carolina",35.7704365,-78.83030845,35.7704365,-78.83030845
1/18/2016 16:13,1/18/2016 16:24,Business,Farmington Woods,Whitebridge,4.7,Meal/Entertain,North Carolina,North Carolina,"Farmington Woods, North Carolina","Whitebridge, North Carolina",35.757938,-78.774601,35.78561455,-78.8511075
1/19/2016 10:55,1/19/2016 11:09,Business,Lake Wellingborough,Whitebridge,7.6,Temporary Site,North Carolina,North Carolina,"Lake Wellingborough, North Carolina","Whitebridge, North Carolina",35.74901795,-78.7634083,35.78561455,-78.8511075
1/20/2016 10:36,1/20/2016 11:11,Business,Cary,Raleigh,17.1,Meeting,North Carolina,North Carolina,"Cary, North Carolina","Raleigh, North Carolina",35.7704365,-78.83030845,35.84376795,-78.64505595
1/20/2016 13:25,1/20/2016 14:19,Business,Raleigh,Cary,40.2,Customer Visit,North Carolina,North Carolina,"Raleigh, North Carolina","Cary, North Carolina",35.84376795,-78.64505595,35.7704365,-78.83030845
1/21/2016 14:25,1/21/2016 14:29,Business,Cary,Cary,1.6,Errand/Supplies,North Carolina,North Carolina,"Cary, North Carolina","Cary, North Carolina",35.7704365,-78.83030845,35.7704365,-78.83030845
1/21/2016 14:43,1/21/2016 14:51,Business,Cary,Cary,2.4,Meal/Entertain,North Carolina,North Carolina,"Cary, North Carolina","Cary, North Carolina",35.7704365,-78.83030845,35.7704365,-78.83030845
1/21/2016 16:01,1/21/2016 16:06,Business,Cary,Cary,1.0,Meal/Entertain,North Carolina,North Carolina,"Cary, North Carolina","Cary, North Carolina",35.7704365,-78.83030845,35.7704365,-78.83030845
1/26/2016 10:41,1/26/2016 10:50,Business,Whitebridge,Hazelwood,2.0,Meal/Entertain,North Carolina,North Carolina,"Whitebridge, North Carolina","Hazelwood, North Carolina",35.78561455,-78.8511075,35.46842165,-83.003046
1/26/2016 12:33,1/26/2016 12:41,Business,Hazelwood,Whitebridge,2.3,Errand/Supplies,North Carolina,North Carolina,"Hazelwood, North Carolina","Whitebridge, North Carolina",35.46842165,-83.003046,35.78561455,-78.8511075
1/26/2016 17:17,1/26/2016 17:22,Business,Cary,Cary,1.4,Errand/Supplies,North Carolina,North Carolina,"Cary, North Carolina","Cary, North Carolina",35.7704365,-78.83030845,35.7704365,-78.83030845
1/26/2016 17:27,1/26/2016 17:29,Business,Cary,Cary,0.5,Errand/Supplies,North Carolina,North Carolina,"Cary, North Carolina","Cary, North Carolina",35.7704365,-78.83030845,35.7704365,-78.83030845
1/27/2016 9:24,1/27/2016 9:31,Business,Cary,Cary,1.8,Meeting,North Carolina,North Carolina,"Cary, North Carolina","Cary, North Carolina",35.7704365,-78.83030845,35.7704365,-78.83030845
1/27/2016 10:19,1/27/2016 10:48,Business,Cary,Raleigh,18.7,Customer Visit,North Carolina,North Carolina,"Cary, North Carolina","Raleigh, North Carolina",35.7704365,-78.83030845,35.84376795,-78.64505595
1/27/2016 12:34,1/27/2016 12:44,Business,Fairmont,Meredith Townes,3.4,Customer Visit,North Carolina,North Carolina,"Fairmont, North Carolina","Meredith Townes, North Carolina",34.49972545,-79.11271,35.82326295,-78.6899889
1/27/2016 14:05,1/27/2016 14:13,Business,Raleigh,Raleigh,2.7,Customer Visit,North Carolina,North Carolina,"Raleigh, North Carolina","Raleigh, North Carolina",35.84376795,-78.64505595,35.84376795,-78.64505595
1/27/2016 14:46,1/27/2016 15:08,Business,Raleigh,Cary,12.9,Customer Visit,North Carolina,North Carolina,"Raleigh, North Carolina","Cary, North Carolina",35.84376795,-78.64505595,35.7704365,-78.83030845
1/28/2016 12:28,1/28/2016 13:00,Business,Cary,Raleigh,19.0,Temporary Site,North Carolina,North Carolina,"Cary, North Carolina","Raleigh, North Carolina",35.7704365,-78.83030845,35.84376795,-78.64505595
1/28/2016 16:21,1/28/2016 16:51,Business,Raleigh,Cary,15.7,Meeting,North Carolina,North Carolina,"Raleigh, North Carolina","Cary, North Carolina",35.84376795,-78.64505595,35.7704365,-78.83030845
1/29/2016 9:31,1/29/2016 9:45,Business,Cary,Cary,4.6,Customer Visit,North Carolina,North Carolina,"Cary, North Carolina","Cary, North Carolina",35.7704365,-78.83030845,35.7704365,-78.83030845
1/29/2016 10:56,1/29/2016 11:07,Business,Cary,Cary,5.2,Meeting,North Carolina,North Carolina,"Cary, North Carolina","Cary, North Carolina",35.7704365,-78.83030845,35.7704365,-78.83030845
1/29/2016 11:43,1/29/2016 12:03,Business,Cary,Durham,10.4,Meeting,North Carolina,North Carolina,"Cary, North Carolina","Durham, North Carolina",35.7704365,-78.83030845,36.0018269,-78.884911
1/29/2016 13:24,1/29/2016 13:47,Business,Durham,Cary,10.1,Meeting,North Carolina,North Carolina,"Durham, North Carolina","Cary, North Carolina",36.0018269,-78.884911,35.7704365,-78.83030845
1/29/2016 18:31,1/29/2016 18:52,Business,Cary,Apex,5.8,Errand/Supplies,North Carolina,North Carolina,"Cary, North Carolina","Apex, North Carolina",35.7704365,-78.83030845,35.72752245,-78.8649655
1/29/2016 21:21,1/29/2016 21:40,Business,Apex,Cary,5.5,Meal/Entertain,North Carolina,North Carolina,"Apex, North Carolina","Cary, North Carolina",35.72752245,-78.8649655,35.7704365,-78.83030845
1/30/2016 16:21,1/30/2016 16:33,Business,Cary,Apex,5.7,Errand/Supplies,North Carolina,North Carolina,"Cary, North Carolina","Apex, North Carolina",35.7704365,-78.83030845,35.72752245,-78.8649655
